NTDID,AGENCY,CITY,STATE,UACE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME,AGENCY_NAME
10129,Massachusetts Department of Transportation,Boston,MA,9271,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council,Massachusetts Department of Transportation
40008,City of Charlotte North Carolina,CHARLOTTE,NC,15670,"Charlotte, NC-SC",Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization,City of Charlotte North Carolina
40228,Mecklenburg County ,Charlotte,NC,15670,"Charlotte, NC-SC",Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization,Mecklenburg County 
50066,Chicago Transit Authority,CHICAGO,IL,16264,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning,Chicago Transit Authority
50113,Pace - Suburban Bus Division,ARLINGTON HEIGHTS,IL,16264,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning,Pace - Suburban Bus Division
50118,Northeast Illinois Regional Commuter Railroad Corporation,CHICAGO,IL,16264,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning,Northeast Illinois Regional Commuter Railroad Corporation
50182,"Pace-Suburban Bus Division, ADA Paratransit Services",ARLINGTON HEIGHTS,IL,16264,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning,"Pace-Suburban Bus Division, ADA Paratransit Services"
50190,City of Chicago Department of Transportation,Chicago,IL,16264,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning,City of Chicago Department of Transportation
50521,Chicago Water Taxi (Wendella),Chicago,IL,16264,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning,Chicago Water Taxi (Wendella)
60007,Fort Worth Transportation Authority,Fort Worth,TX,22042,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments,Fort Worth Transportation Authority
60041,City of Arlington,ARLINGTON,TX,22042,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments,City of Arlington
60056,Dallas Area Rapid Transit,Dallas,TX,22042,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments,Dallas Area Rapid Transit
60068,City of Grand Prairie ,GRAND PRAIRIE,TX,22042,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments,City of Grand Prairie 
60070,City of Mesquite,MESQUITE,TX,22042,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments,City of Mesquite
60084,"Ft.Worth - vRide, Inc.",Arlington,TX,22042,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments,"Ft.Worth - vRide, Inc."
60092,ATC / Vancom,Dallas,TX,22042,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments,ATC / Vancom
