NTDID,AGENCY,CITY,STATE,UACE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME,AGENCY_NAME
20007,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus",Garden City,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus"
20008,MTA New York City Transit,BROOKLYN,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,MTA New York City Transit
20040,"New York Bus Tours, Inc., dba: New York Bus Service",Bronx,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"New York Bus Tours, Inc., dba: New York Bus Service"
20071,Town of Huntington,HUNTINGTON,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Town of Huntington
20072,Suffolk County ,YAPHANK,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Suffolk County 
20076,Westchester County,WHITE PLAINS,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Westchester County
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad"
20079,"Liberty Lines Transit, Inc.",Yonkers,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Liberty Lines Transit, Inc."
20082,New York City Department of Transportation,NEW YORK,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,New York City Department of Transportation
20084,County of Rockland ,NEW CITY,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,County of Rockland 
20085,Town of Clarkstown ,NEW CITY,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Town of Clarkstown 
20086,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens,New York,CT,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens
20089,Village of Spring Valley ,Spring Valley,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Village of Spring Valley 
20096,Putnam County ,CARMEL,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Putnam County 
20099,Staten Island Rapid Transit Operating Authority,Staten Island,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Staten Island Rapid Transit Operating Authority
20100,MTA Long Island Rail Road,Jamaica,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,MTA Long Island Rail Road
20117,"Liberty Lines Express, Inc.",Yonkers,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Liberty Lines Express, Inc."
20135,Monsey New Square Trails Corporation,Spring Valley,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Monsey New Square Trails Corporation
20136,Queens Surface Corporation,Flushing,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Queens Surface Corporation
20147,GTJC,Lynbrook,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,GTJC
20159,"Atlantic Paratrans of NYC, Inc.",New York,CT,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Atlantic Paratrans of NYC, Inc."
20171,"Private One of New York, LLC, dba: New York Airport Service",Brooklyn,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Private One of New York, LLC, dba: New York Airport Service"
20175,Private Transportation Corporation,Brooklyn,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Private Transportation Corporation
20177,"Adirondack Transit Lines, Inc,",HURLEY,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Adirondack Transit Lines, Inc,"
20180,Atlantic Express,Staten Island,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Atlantic Express
20188,MTA Bus Company,NEW YORK,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,MTA Bus Company
20189,"BillyBey Ferry Company, LLC",New York,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"BillyBey Ferry Company, LLC"
20206,County of Nassau,MINEOLA,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,County of Nassau
20217,"Hampton Jitney, Inc.",CALVERTON,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Hampton Jitney, Inc."
22930,New York City Economic Development Corporation,New York,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,New York City Economic Development Corporation
20080,New Jersey Transit Corporation,Newark,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,New Jersey Transit Corporation
20098,Port Authority Trans-Hudson Corporation,NEW YORK,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Port Authority Trans-Hudson Corporation
20122,"Academy Lines, Inc.",HOBOKEN,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Academy Lines, Inc."
20126,"Hudson Transit Lines, Inc.",MAHWAH,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Hudson Transit Lines, Inc."
20128,Suburban Transit Corporation,NEW BRUNSWICK,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Suburban Transit Corporation
20132,New Jersey Transit Corporation-45,Newark,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,New Jersey Transit Corporation-45
20149,"Rockland Coaches, Inc.",PARAMUS,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Rockland Coaches, Inc."
20154,New York Waterway,Weehawken,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,New York Waterway
20160,"Community Transit, Inc.",PARAMUS,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Community Transit, Inc."
