Mode,mode_name
AG,Light Rail & Streetcar
DR-DO,Demand Response
DR-PT,Demand Response
DR-TN,Demand Response
DR-TX,Demand Response
CB,Bus
CC,Light Rail & Streetcar
CR,Commuter Rail
FB,Ferry
HR,Light Rail & Streetcar
LR,Light Rail & Streetcar
MB,Bus
MG,Monorail
MO,Monorail
RB,Bus
SR,Light Rail & Streetcar
TB,Bus
TR,Light Rail & Streetcar
VP,Vanpool
YR,Light Rail & Streetcar
